TransactionId|TransactionDate|FromAccount|ToAccount|Amount
T0175896345|10-Jan-20|10010589|80074567|100000
T0175896346|15-Jan-20|68748963|30045721|500
T0175896347|21-Jan-20|78524169|30045721|6500
T0175896348|26-Jan-20|80074567|68748963|8700
T0175896349|31-Jan-20|30045721|78524169|4200
T0175896350|4-Feb-20|80074567|10010589|8950
T0175896351|11-Feb-20|78524169|68748963|20000
T0175896352|15-Feb-20|68748963|10010589|50000
T0175896353|18-Feb-20|30045721|78524169|28000
T0175896354|23-Feb-20|10010589|78524169|34000
T0175896355|3-Mar-20|68748963|10010589|75000
T0175896356|9-Mar-20|78524169|30045721|64000
T0175896357|19-Mar-20|78524169|10010589|23000
T0175896358|25-Mar-20|10010589|80074567|89000
